timestamp,temperatura,pH ,conductividad,TDS,Sal.[psu],Press.[psi],DO_mgL
2021-11-17 18:55:30,17.48,5.55,655,0.327,0.32,10.794,4.01
2021-11-17 18:55:35,17.48,5.55,655,0.327,0.32,10.795,3.99
2021-11-17 18:55:40,17.48,5.55,655,0.327,0.32,10.795,3.97
2021-11-17 18:55:45,17.48,5.55,655,0.327,0.32,10.795,3.97
2021-11-17 18:55:50,17.48,5.55,655,0.327,0.32,10.797,3.97
2021-11-17 18:55:55,17.48,5.54,655,0.327,0.32,10.797,3.95
2021-11-17 18:56:00,17.48,5.55,655,0.327,0.32,10.795,3.93
2021-11-17 18:56:05,17.48,5.55,655,0.327,0.32,10.794,3.92
2021-11-17 18:56:10,17.48,5.55,655,0.327,0.32,10.793,3.89
2021-11-17 18:56:15,17.48,5.54,655,0.327,0.32,10.794,3.91
2021-11-17 18:56:20,17.48,5.54,655,0.327,0.32,10.795,4.1
2021-11-17 18:56:25,17.48,5.55,655,0.327,0.32,10.795,4.16
2021-11-17 18:56:30,17.48,5.55,655,0.327,0.32,10.794,4.13
2021-11-17 18:56:35,17.48,5.55,655,0.327,0.32,10.794,4.09
